"   ","INSTANCE_NUMBER","SNAP_ID","SNAP_TIME","EVENT_NAME","WAITS","WAIT_TIME","AVGWAIT","PCT_DB_TIME","WAIT_CLASS"
"92","1","1964","8/30/2013 10:15:50 PM","db file sequential read","29","0","5","1.1","User I/O"
"93","1","1964","8/30/2013 10:15:50 PM","direct path read","1","0","0","0","User I/O"
"94","1","1965","8/30/2013 10:45:50 PM","db file sequential read","47","0","5","1.9","User I/O"
"95","1","1965","8/30/2013 10:45:50 PM","direct path read","6","0","0","0","User I/O"
"96","1","1966","8/30/2013 11:15:50 PM","db file sequential read","46","0","5","1.6","User I/O"
"97","1","1966","8/30/2013 11:15:50 PM","direct path read","1","0","0","0","User I/O"
"98","1","1967","8/30/2013 11:45:50 PM","db file sequential read","45","0","5","1.5","User I/O"
"99","1","1967","8/30/2013 11:45:50 PM","direct path read","1","0","0","0","User I/O"
"100","1","1968","8/31/2013 12:15:50 AM","db file sequential read","39","0","4","1.4","User I/O"
"101","1","1968","8/31/2013 12:15:50 AM","direct path read","3","0","1","0","User I/O"
"102","1","1969","8/31/2013 12:45:50 AM","db file sequential read","32","0","4","1.3","User I/O"
"103","1","1970","8/31/2013 1:15:50 AM","direct path read","3","0","0","0","User I/O"
"104","1","1970","8/31/2013 1:15:50 AM","db file sequential read","32","0","4","1.1","User I/O"
"105","1","1971","8/31/2013 1:45:50 AM","db file sequential read","36","0","3","1.1","User I/O"
"106","1","1971","8/31/2013 1:45:50 AM","direct path read","2","0","0","0","User I/O"
"107","1","1972","8/31/2013 2:15:50 AM","db file sequential read","26","0","4","0.9","User I/O"
"108","1","1972","8/31/2013 2:15:50 AM","direct path read","1","0","0","0","User I/O"
"109","1","1973","8/31/2013 2:45:50 AM","db file sequential read","31","0","4","1.1","User I/O"
"110","1","1973","8/31/2013 2:45:50 AM","direct path read","1","0","0","0","User I/O"
"111","1","1974","8/31/2013 3:15:50 AM","db file sequential read","31","0","4","0.9","User I/O"
"112","1","1974","8/31/2013 3:15:50 AM","direct path read","5","0","0","0","User I/O"
"113","1","1975","8/31/2013 3:45:50 AM","db file sequential read","35","0","4","1.2","User I/O"
"114","1","1975","8/31/2013 3:45:50 AM","direct path read","2","0","0","0","User I/O"
"115","1","1976","8/31/2013 4:15:50 AM","db file sequential read","38","0","5","1.6","User I/O"
"116","1","1977","8/31/2013 4:45:50 AM","db file sequential read","34","0","4","1.2","User I/O"
"117","1","1977","8/31/2013 4:45:50 AM","direct path read","1","0","0","0","User I/O"
"118","1","1978","8/31/2013 5:15:50 AM","db file sequential read","35","0","4","1.3","User I/O"
"119","1","1978","8/31/2013 5:15:50 AM","direct path read","4","0","0","0","User I/O"
"120","1","1703","8/25/2013 11:45:50 AM","db file scattered read","59","0","7","0.7","User I/O"
"121","1","1703","8/25/2013 11:45:50 AM","db file sequential read","827","3","4","5.8","User I/O"
"122","1","1703","8/25/2013 11:45:50 AM","direct path read","619","0","0","0.2","User I/O"
"123","1","1704","8/25/2013 12:15:50 PM","db file sequential read","711","2","3","2.9","User I/O"
"124","1","1704","8/25/2013 12:15:50 PM","direct path read","718","0","0","0.1","User I/O"
"125","1","1704","8/25/2013 12:15:50 PM","db file scattered read","1","0","8","0","User I/O"
"126","1","1705","8/25/2013 12:45:50 PM","db file scattered read","1","0","6","0","User I/O"
"127","1","1705","8/25/2013 12:45:50 PM","db file sequential read","681","4","6","2.8","User I/O"
"128","1","1705","8/25/2013 12:45:50 PM","direct path read","1347","10","7","6.7","User I/O"
"129","1","1706","8/25/2013 1:15:50 PM","db file scattered read","1","0","6","0","User I/O"
"130","1","1706","8/25/2013 1:15:50 PM","db file sequential read","681","4","6","2.8","User I/O"
"131","1","1706","8/25/2013 1:15:50 PM","direct path read","1347","10","7","6.7","User I/O"
"132","1","1707","8/25/2013 1:45:50 PM","db file scattered read","1","0","6","0","User I/O"
"133","1","1707","8/25/2013 1:45:50 PM","db file sequential read","681","4","6","2.8","User I/O"
"134","1","1707","8/25/2013 1:45:50 PM","direct path read","1347","10","7","6.7","User I/O"
"135","1","1708","8/25/2013 2:15:50 PM","db file scattered read","1","0","6","0","User I/O"
"136","1","1708","8/25/2013 2:15:50 PM","db file sequential read","681","4","6","2.8","User I/O"
"137","1","1708","8/25/2013 2:15:50 PM","direct path read","1347","10","7","6.7","User I/O"
"138","1","1709","8/25/2013 2:45:50 PM","db file scattered read","8033","128","16","4.7","User I/O"
"139","1","1709","8/25/2013 2:45:50 PM","db file sequential read","69191","1295","19","47.2","User I/O"
"140","1","1709","8/25/2013 2:45:50 PM","direct path read","562","344","613","12.5","User I/O"
"141","1","1710","8/25/2013 3:15:50 PM","direct path read","417","89","214","8.6","User I/O"
"142","1","1710","8/25/2013 3:15:50 PM","db file scattered read","506","18","36","1.8","User I/O"
"143","1","1710","8/25/2013 3:15:50 PM","db file sequential read","96895","749","8","71.7","User I/O"
"144","1","1711","8/25/2013 3:45:50 PM","db file scattered read","154","1","6","5.2","User I/O"
"145","1","1711","8/25/2013 3:45:50 PM","db file sequential read","1549","7","5","41.9","User I/O"
"146","1","1711","8/25/2013 3:45:50 PM","direct path read","223","1","4","5.2","User I/O"
"147","1","1712","8/25/2013 4:15:50 PM","db file sequential read","1799","7","4","6","User I/O"
"148","1","1712","8/25/2013 4:15:50 PM","direct path read","612","3","5","2.8","User I/O"
"149","1","1712","8/25/2013 4:15:50 PM","db file scattered read","43","0","4","0.2","User I/O"
"150","1","1713","8/25/2013 4:45:50 PM","db file sequential read","1799","7","4","6","User I/O"
"151","1","1713","8/25/2013 4:45:50 PM","direct path read","612","3","5","2.8","User I/O"
"152","1","1713","8/25/2013 4:45:50 PM","db file scattered read","43","0","4","0.2","User I/O"
"153","1","1714","8/25/2013 5:15:50 PM","db file scattered read","1874","443","236","31.1","User I/O"
"154","1","1714","8/25/2013 5:15:50 PM","db file sequential read","23496","229","10","16","User I/O"
"155","1","1714","8/25/2013 5:15:50 PM","direct path read","406","242","596","17","User I/O"
"156","1","1715","8/25/2013 5:45:50 PM","db file scattered read","26996","214","8","18.5","User I/O"
"157","1","1715","8/25/2013 5:45:50 PM","db file sequential read","60426","298","5","25.8","User I/O"
"158","1","1715","8/25/2013 5:45:50 PM","direct path read","917","89","98","7.7","User I/O"
"159","1","1716","8/25/2013 6:15:50 PM","db file scattered read","26996","214","8","18.5","User I/O"
"160","1","1716","8/25/2013 6:15:50 PM","db file sequential read","60426","298","5","25.8","User I/O"
"161","1","1716","8/25/2013 6:15:50 PM","direct path read","917","89","98","7.7","User I/O"
"162","1","1717","8/25/2013 6:45:50 PM","db file scattered read","26996","214","8","18.5","User I/O"
"163","1","1717","8/25/2013 6:45:50 PM","db file sequential read","60426","298","5","25.8","User I/O"
"164","1","1717","8/25/2013 6:45:50 PM","direct path read","917","89","98","7.7","User I/O"
"165","1","1718","8/25/2013 7:15:50 PM","db file scattered read","26996","214","8","18.5","User I/O"
"166","1","1718","8/25/2013 7:15:50 PM","db file sequential read","60426","298","5","25.8","User I/O"
"167","1","1718","8/25/2013 7:15:50 PM","direct path read","917","89","98","7.7","User I/O"
"168","1","1719","8/25/2013 7:45:50 PM","db file scattered read","26996","214","8","18.5","User I/O"
"169","1","1719","8/25/2013 7:45:50 PM","db file sequential read","60426","298","5","25.8","User I/O"
"170","1","1719","8/25/2013 7:45:50 PM","direct path read","917","89","98","7.7","User I/O"
"171","1","1720","8/25/2013 8:15:50 PM","db file scattered read","26996","214","8","18.5","User I/O"
"172","1","1720","8/25/2013 8:15:50 PM","db file sequential read","60426","298","5","25.8","User I/O"
"173","1","1720","8/25/2013 8:15:50 PM","direct path read","917","89","98","7.7","User I/O"
"174","1","1721","8/25/2013 8:45:50 PM","db file sequential read","1831","9","5","10.2","User I/O"
"175","1","1721","8/25/2013 8:45:50 PM","direct path read","70","1","8","0.6","User I/O"
"176","1","1721","8/25/2013 8:45:50 PM","db file scattered read","279","1","3","1.1","User I/O"
"177","1","1722","8/25/2013 9:15:50 PM","db file scattered read","82","0","3","0.3","User I/O"
"178","1","1722","8/25/2013 9:15:50 PM","db file sequential read","1432","4","3","4.9","User I/O"
"179","1","1722","8/25/2013 9:15:50 PM","direct path read","275","0","0","0","User I/O"
"180","1","1723","8/25/2013 9:45:50 PM","db file scattered read","3","0","2","0","User I/O"
"181","1","1723","8/25/2013 9:45:50 PM","db file sequential read","919","3","4","6.8","User I/O"
"182","1","1723","8/25/2013 9:45:50 PM","direct path read","316","0","0","0.1","User I/O"
"183","1","1724","8/25/2013 10:15:50 PM","db file scattered read","1","0","6","0","User I/O"
"184","1","1724","8/25/2013 10:15:50 PM","db file sequential read","787","3","4","3.5","User I/O"
"185","1","1724","8/25/2013 10:15:50 PM","direct path read","593","0","0","0.1","User I/O"
"186","1","1725","8/25/2013 10:45:50 PM","db file scattered read","1","0","6","0","User I/O"
"187","1","1725","8/25/2013 10:45:50 PM","db file sequential read","787","3","4","3.5","User I/O"
"188","1","1725","8/25/2013 10:45:50 PM","direct path read","593","0","0","0.1","User I/O"
"189","1","1726","8/25/2013 11:15:50 PM","db file sequential read","224","1","4","1.3","User I/O"
"190","1","1726","8/25/2013 11:15:50 PM","direct path read","200","0","0","0","User I/O"
"191","1","1727","8/25/2013 11:45:50 PM","db file sequential read","223","1","3","1.4","User I/O"
"192","1","1727","8/25/2013 11:45:50 PM","direct path read","275","0","0","0.1","User I/O"
"193","1","1728","8/26/2013 12:15:50 AM","db file scattered read","60","0","5","0.3","User I/O"
"194","1","1728","8/26/2013 12:15:50 AM","db file sequential read","1430","3","2","4.2","User I/O"
"195","1","1728","8/26/2013 12:15:50 AM","direct path read","184","0","0","0.1","User I/O"
"196","1","1729","8/26/2013 12:45:50 AM","db file scattered read","4","0","3","0","User I/O"
"197","1","1729","8/26/2013 12:45:50 AM","db file sequential read","720","3","4","3.9","User I/O"
"198","1","1729","8/26/2013 12:45:50 AM","direct path read","60","0","1","0","User I/O"
"199","1","1730","8/26/2013 1:15:50 AM","db file sequential read","3966","44","11","11.7","User I/O"
"200","1","1730","8/26/2013 1:15:50 AM","direct path read","142","1","4","0.1","User I/O"
"201","1","1730","8/26/2013 1:15:50 AM","db file scattered read","16349","106","6","28.5","User I/O"
"202","1","1731","8/26/2013 1:45:50 AM","db file scattered read","19729","74","4","8.3","User I/O"
"203","1","1731","8/26/2013 1:45:50 AM","db file sequential read","39518","195","5","21.9","User I/O"
"204","1","1731","8/26/2013 1:45:50 AM","direct path read","177","1","5","0.1","User I/O"
"205","1","1732","8/26/2013 2:15:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"206","1","1732","8/26/2013 2:15:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"207","1","1732","8/26/2013 2:15:50 AM","direct path read","151","7","46","0.6","User I/O"
